Latitude,Longitude,Sample Date,Total Alkalinity,Electrical Conductance,Dissolved Reactive Phosphorus,Location_ID
-26.648056,27.089444,2011-01-26,243.0,556.0,12.0,116
-26.880278,26.965,2011-01-26,217.0,535.0,176.0,113
-27.044444,27.005,2011-01-26,82.651,220.5,96.0,106
-34.092222,21.295278,2011-01-26,26.088,187.5,10.0,3
-27.02314,28.59389,2011-01-27,113.459,167.3,12.0,107
-26.73806,27.59194,2011-01-27,63.354,199.9,56.0,115
-26.861111,28.884722,2011-01-31,82.136,182.3,109.0,114
-26.73806,27.59194,2011-01-31,56.127,318.5,30.0,115
-25.127778,27.628889,2011-02-01,128.967,377.0,163.0,137
-27.802778,28.768333,2011-02-01,43.422,116.9,13.0,91
-29.160278,26.573333,2011-02-01,110.418,255.6,86.0,62
-34.329722,18.990278,2011-02-01,9.639,159.1,10.0,1
-25.20639,27.558,2011-02-02,120.441,549.0,59.0,135
-23.281,30.54305556,2011-02-03,179.566,377.0,10.0,154
-28.801278,31.955389,2011-02-03,267.057,1405.0,27.0,69
-27.02314,28.59389,2011-02-03,73.521,195.0,17.0,107
-27.3,28.586944,2011-02-03,79.329,175.8,18.0,103
-30.679722,26.7125,2011-02-03,110.608,213.21,10.0,40
-28.460833,21.248889,2011-02-03,83.815,282.2,61.0,77
-28.460833,21.248889,2011-02-04,75.303,416.5,43.5,77
-29.140556,31.391944,2011-02-07,52.323,410.0,11.0,63
-25.99136,27.84208,2011-02-07,98.8,368.0,15.0,122
-24.058889,31.237222,2011-02-07,95.677,371.0,10.0,149
-26.73806,27.59194,2011-02-07,58.238,193.4,81.0,115
-30.86013889,29.07125,2011-02-07,45.978,119.3,10.0,36
-28.058889,30.373611,2011-02-07,71.0,290.0,100.0,87
-27.01011111,26.69808333,2011-02-08,101.723,207.1,15.0,108
-26.98472222,26.63227778,2011-02-08,206.521,612.0,158.0,110
-33.501667,21.624167,2011-02-08,178.546,896.0,24.0,17
-32.502778,19.535833,2011-02-08,27.104,168.6,10.0,26
-25.45963889,28.26430556,2011-02-08,118.92,530.0,82.0,130
-26.970278,27.211111,2011-02-09,68.54,209.0,90.0,111
-28.69485,28.23487,2011-02-09,140.367,276.7,10.0,76
-28.883333,27.89,2011-02-09,121.513,242.8,10.0,68
-27.02314,28.59389,2011-02-10,132.58,353.0,25.0,107
-30.679722,26.7125,2011-02-10,97.433,207.4,10.0,40
-30.534167,24.961944,2011-02-10,60.941,152.6,10.0,43
-34.031944,22.053333,2011-02-10,12.53,263.7,10.0,7
-34.039722,22.133333,2011-02-10,5.0,396.0,10.0,6
-32.595833,19.009444,2011-02-10,10.526,84.8,10.0,25
-28.801278,31.955389,2011-02-11,116.762,515.0,14.0,69
-28.068333,31.55,2011-02-11,56.453,190.7,10.0,86
-29.987778,29.851667,2011-02-14,33.358,97.1,10.0,49
-29.744167,29.905833,2011-02-14,19.682,67.8,10.0,53
-26.861111,28.884722,2011-02-14,64.013,241.0,18.0,114
-26.45,28.085833,2011-02-14,135.21,642.0,80.0,119
-25.20639,27.558,2011-02-15,109.812,519.0,57.0,135
-26.006389,29.253889,2011-02-15,98.186,572.0,10.0,121
-27.802778,28.768333,2011-02-15,62.998,153.0,10.0,91
-27.671111,27.236944,2011-02-15,91.236,218.7,61.0,92
-29.160278,26.573333,2011-02-15,167.527,385.0,156.0,62
-30.568333,29.422778,2011-02-15,49.85,122.0,14.0,42
-30.570833,29.150556,2011-02-15,37.25,99.8,10.0,41
-33.31388889,19.07472222,2011-02-15,28.822,177.4,22.0,20
-27.495556,26.074722,2011-02-15,145.379,373.0,163.0,96
-25.436111,31.982222,2011-02-16,74.369,226.2,10.0,132
-25.67386,31.57527,2011-02-16,36.36,117.2,22.0,126
-30.733889,29.828333,2011-02-16,27.45,84.6,10.0,39
-30.398056,30.601944,2011-02-16,36.467,233.3,10.0,44
-27.3,28.586944,2011-02-16,80.576,159.4,15.0,103
-27.044444,27.005,2011-02-16,93.716,233.7,32.0,106
-30.86013889,29.07125,2011-02-16,43.627,110.7,10.0,36
-30.77586667,29.03221667,2011-02-16,45.391,100.9,10.0,38
-27.02314,28.59389,2011-02-17,96.161,229.9,57.0,107
-22.43772222,31.07805556,2011-02-18,19.62,84.0,10.0,160
-29.803611,30.516111,2011-02-18,106.779,414.0,12.0,50
-25.99136,27.84208,2011-02-21,109.973,373.0,10.0,122
-26.861111,28.884722,2011-02-21,93.973,327.1,18.0,114
-26.73806,27.59194,2011-02-21,82.028,284.0,180.0,115
-26.45,28.085833,2011-02-21,134.233,623.0,80.0,119
-27.01011111,26.69808333,2011-02-22,103.0,318.8,15.0,108
-26.98472222,26.63227778,2011-02-22,241.0,216.8,135.0,110
-29.160278,26.573333,2011-02-22,91.397,201.5,153.0,62
-33.818056,19.694722,2011-02-22,13.801,159.6,17.0,14
-25.81048333,27.90955222,2011-02-23,109.253,453.0,10.0,123
-34.065833,20.404167,2011-02-23,41.761,465.0,10.0,5
-33.980556,21.653333,2011-02-23,143.799,721.0,103.0,10
-27.02314,28.59389,2011-02-23,102.0,400.0,12.0,107
-27.671111,27.236944,2011-02-23,74.84,170.8,37.0,92
-23.763056,27.908611,2011-02-24,5.0,55.5,10.0,152
-23.23572222,27.717,2011-02-24,13.483,56.8,10.0,155
-30.679722,26.7125,2011-02-24,103.657,208.2,10.0,40
-30.336111,27.359444,2011-02-24,69.862,142.8,10.0,45
-28.460833,21.248889,2011-02-24,74.128,637.0,10.0,77
-22.91028,29.61111,2011-02-25,55.46,149.1,10.0,157
-24.183889,30.823889,2011-03-01,104.189,323.4,10.0,148
-27.671111,27.236944,2011-03-01,78.935,187.5,32.0,92
-29.160278,26.573333,2011-03-01,106.253,255.6,153.0,62
-27.495556,26.074722,2011-03-01,127.973,320.4,77.0,96
-26.648056,27.089444,2011-03-02,236.859,543.0,10.0,116
-27.802778,28.768333,2011-03-02,68.43,160.2,10.0,91
-27.3,28.586944,2011-03-03,82.83,189.3,10.0,103
-30.679722,26.7125,2011-03-03,63.386,157.2,10.0,40
-27.02314,28.59389,2011-03-04,124.63,276.5,10.0,107
-25.99136,27.84208,2011-03-07,107.506,322.4,64.0,122
-27.01011111,26.69808333,2011-03-08,114.749,437.0,82.0,108
-27.802778,28.768333,2011-03-08,86.425,268.9,10.0,91
-26.98472222,26.63227778,2011-03-08,199.821,189.1,135.0,110
-27.671111,27.236944,2011-03-08,84.322,192.2,20.0,92
-29.160278,26.573333,2011-03-08,144.754,367.0,153.0,62
-25.45963889,28.26430556,2011-03-08,184.911,719.0,82.0,130
-25.81048333,27.90955222,2011-03-09,142.762,831.0,10.0,123
-22.225556,29.990556,2011-03-09,110.7905,449.5,13.5,161
-26.03611,30.99778,2011-03-09,69.18,164.2,10.0,120
-28.404444,30.013056,2011-03-09,49.642,187.6,10.0,79
-29.380556,30.2775,2011-03-09,54.37,217.5,33.0,58
-26.648056,27.089444,2011-03-09,246.879,572.0,10.0,116
-26.970278,27.211111,2011-03-09,82.122,519.0,186.0,111
-27.3,28.586944,2011-03-09,98.6015,264.3,23.0,103
-27.044444,27.005,2011-03-09,93.589,218.3,34.0,106
-28.69485,28.23487,2011-03-09,191.289,373.0,10.0,76
-28.883333,27.89,2011-03-09,111.763,250.5,157.0,68
-30.568333,29.422778,2011-03-09,52.601,136.8,16.0,42
-30.570833,29.150556,2011-03-09,41.496,113.2,13.0,41
-34.329722,18.990278,2011-03-09,5.0,120.2,10.0,1
-30.830556,26.921389,2011-03-10,106.852,229.0,10.0,37
-25.49037,30.6986,2011-03-10,70.544,269.1,10.0,129
-29.380556,30.2775,2011-03-10,29.113,79.4,10.0,58
-30.86013889,29.07125,2011-03-10,44.145,95.7,15.0,36
-30.77586667,29.03221667,2011-03-10,58.928,146.2,10.0,38
-30.534167,24.961944,2011-03-11,153.728,365.0,123.0,43
-31.031389,28.883333,2011-03-11,31.844,91.2,14.0,34
-34.039722,22.133333,2011-03-11,23.261,238.2,10.0,6
-29.987778,29.851667,2011-03-14,32.638,97.1,10.0,49
-29.744167,29.905833,2011-03-14,17.93,59.9,62.0,53
-26.861111,28.884722,2011-03-14,147.927,552.0,57.0,114
-26.73806,27.59194,2011-03-14,92.447,416.0,165.0,115
-26.45,28.085833,2011-03-14,119.011,608.0,80.0,119
-25.127778,27.628889,2011-03-15,177.447,567.0,163.0,137
-25.20639,27.558,2011-03-15,92.798,533.0,49.0,135
-25.73411,27.21422,2011-03-15,7.295,31.96,10.0,124
-26.006389,29.253889,2011-03-15,122.523,810.0,10.0,121
-28.747778,31.745833,2011-03-15,88.255,308.1,20.0,73
-30.733889,29.828333,2011-03-15,29.189,103.3,10.0,39
-27.495556,26.074722,2011-03-15,186.883,474.0,10.0,96
-30.398056,30.601944,2011-03-16,44.636,256.1,10.0,44
-30.27402,30.69602,2011-03-16,129.567,601.0,10.0,46
-26.880278,26.965,2011-03-16,282.273,622.0,176.0,113
-34.031944,22.053333,2011-03-16,5.0,294.4,10.0,7
-23.763056,27.908611,2011-03-17,5.989,58.8,10.0,152
-27.02314,28.59389,2011-03-17,134.016,285.7,10.0,107
-29.803611,30.516111,2011-03-18,107.509,373.0,10.0,50
-26.970278,27.211111,2011-03-21,88.695,452.0,194.0,111
-27.01011111,26.69808333,2011-03-22,90.826,431.0,82.0,108
-25.99136,27.84208,2011-03-22,105.884,325.6,10.0,122
-26.861111,28.884722,2011-03-22,181.916,678.0,142.0,114
-26.45,28.085833,2011-03-22,55.095,551.0,80.0,119
-33.501667,21.624167,2011-03-22,206.562,672.0,44.0,17
-33.31388889,19.07472222,2011-03-22,39.781,405.0,67.0,20
-28.338333,31.373611,2011-03-22,118.542,288.4,10.0,81
-28.735556,29.820556,2011-03-23,30.664,80.9,10.0,74
-26.648056,27.089444,2011-03-23,240.299,560.0,10.0,116
-27.044444,27.005,2011-03-23,100.902,254.2,16.0,106
-29.160278,26.573333,2011-03-23,84.404,190.8,133.0,62
-25.45963889,28.26430556,2011-03-23,193.032,577.0,82.0,130
-25.81048333,27.90955222,2011-03-24,113.935,669.0,10.0,123
-27.602222,29.942778,2011-03-24,98.728,222.6,10.0,93
-27.3,28.586944,2011-03-24,76.828,203.9,10.0,103
-27.02314,28.59389,2011-03-25,129.496,317.4,10.0,107
-30.336111,27.359444,2011-03-25,65.66,141.8,10.0,45
-22.43772222,31.07805556,2011-03-28,18.539,79.15,10.0,160
-26.73806,27.59194,2011-03-28,108.954,576.0,41.0,115
-25.127778,27.628889,2011-03-29,136.067,414.0,163.0,137
-25.20639,27.558,2011-03-29,96.254,494.0,20.0,135
-26.98472222,26.63227778,2011-03-29,217.389,500.0,135.0,110
-28.141944,26.417778,2011-03-29,126.706,246.6,25.0,83
-28.116667,26.725278,2011-03-29,115.667,735.0,79.0,85
-29.160278,26.573333,2011-03-29,98.723,243.3,133.0,62
-27.495556,26.074722,2011-03-29,192.709,530.0,69.0,96
-34.065833,20.404167,2011-03-30,109.324,1205.0,10.0,5
-28.75,30.442778,2011-03-30,80.642,198.3,10.0,72
-29.161667,30.629722,2011-03-30,32.136,130.4,10.0,61
-26.880278,26.965,2011-03-30,230.408,620.0,176.0,113
-28.69485,28.23487,2011-03-30,138.653,285.4,71.0,76
-28.883333,27.89,2011-03-30,78.272,193.9,10.0,68
-33.818056,19.694722,2011-03-30,5.0,146.1,10.0,14
-34.075556,20.145556,2011-03-30,5.0,151.2,10.0,4
-27.02314,28.59389,2011-03-31,143.325,351.0,10.0,107
-30.679722,26.7125,2011-03-31,97.718,200.3,10.0,40
-30.534167,24.961944,2011-03-31,255.558,644.0,161.0,43
-27.802778,28.768333,2011-04-01,93.753,239.9,10.0,91
-27.5275,30.858056,2011-04-02,24.289,83.7,10.0,95
-25.99136,27.84208,2011-04-04,96.656,355.0,84.0,122
-25.513889,31.224444,2011-04-04,37.665,159.6,10.0,128
-24.183889,30.823889,2011-04-05,89.789,318.9,39.0,148
-23.281,30.54305556,2011-04-05,182.77,413.0,10.0,154
-25.362222,31.956667,2011-04-05,80.966,253.4,10.0,134
-29.380556,30.2775,2011-04-05,22.119,72.3,10.0,58
-25.45963889,28.26430556,2011-04-05,164.447,616.0,82.0,130
-25.81048333,27.90955222,2011-04-06,110.416,512.0,10.0,123
-24.058889,31.237222,2011-04-06,82.768,360.0,165.0,149
-24.034167,31.123611,2011-04-06,193.964,834.0,158.0,150
-25.14944444,31.94055556,2011-04-06,33.47,122.6,10.0,136
-27.937778,31.209444,2011-04-06,69.532,303.5,10.0,88
-28.404444,30.013056,2011-04-06,51.232,219.2,10.0,79
-26.880278,26.965,2011-04-06,248.154,637.0,176.0,113
-31.000833,26.353056,2011-04-06,97.607,449.0,10.0,35
-27.02314,28.59389,2011-04-07,129.847,382.0,60.5,107
-26.73806,27.59194,2011-04-10,108.158,610.0,41.0,115
-25.49037,30.6986,2011-04-11,64.148,274.6,10.0,129
-29.987778,29.851667,2011-04-11,42.337,100.1,10.0,49
-29.744167,29.905833,2011-04-11,23.858,61.5,10.0,53
-26.861111,28.884722,2011-04-11,110.466,411.0,142.0,114
-26.970278,27.211111,2011-04-11,101.219,578.0,106.0,111
-26.45,28.085833,2011-04-11,106.19,662.0,80.0,119
-27.01011111,26.69808333,2011-04-12,114.66,631.0,161.0,108
-25.127778,27.628889,2011-04-12,154.323,481.0,163.0,137
-25.20639,27.558,2011-04-12,115.481,586.0,10.0,135
-25.73411,27.21422,2011-04-12,5.0,35.0,10.0,124
-26.006389,29.253889,2011-04-12,86.873,749.0,10.0,121
-26.03611,30.99778,2011-04-12,73.784,157.1,10.0,120
-28.801278,31.955389,2011-04-12,126.526,505.0,10.0,69
-30.733889,29.828333,2011-04-12,14.407,90.1,10.0,39
-27.802778,28.768333,2011-04-12,64.568,175.0,10.0,91
-26.98472222,26.63227778,2011-04-12,188.676,473.0,193.0,110
-29.160278,26.573333,2011-04-12,101.593,222.9,10.0,62
-30.568333,29.422778,2011-04-12,51.913,126.0,10.0,42
-30.570833,29.150556,2011-04-12,60.729,137.2,10.0,41
-33.501667,21.624167,2011-04-12,152.334,530.0,42.0,17
-27.495556,26.074722,2011-04-12,195.576,498.0,131.0,96
-25.57877778,29.12747222,2011-04-12,57.867,372.0,10.0,127
-28.801278,31.955389,2011-04-13,117.224,477.0,10.0,69
-30.398056,30.601944,2011-04-13,56.015,270.1,10.0,44
-30.27402,30.69602,2011-04-13,144.021,646.0,10.0,46
-26.648056,27.089444,2011-04-13,239.745,593.0,10.0,116
-27.044444,27.005,2011-04-13,88.867,247.7,16.0,106
-31.031389,28.883333,2011-04-13,56.198,116.2,10.0,34
-30.86013889,29.07125,2011-04-13,84.92,165.0,10.0,36
-27.02314,28.59389,2011-04-14,146.291,450.0,12.0,107
-30.336111,27.359444,2011-04-14,64.881,143.6,22.0,45
-30.830556,26.921389,2011-04-15,76.571,174.8,10.0,37
-34.031944,22.053333,2011-04-15,5.0,271.1,10.0,7
-29.803611,30.516111,2011-04-15,109.176,419.0,57.0,50
-22.43772222,31.07805556,2011-04-16,37.597,117.0,10.0,160
-25.99136,27.84208,2011-04-18,55.464,297.5,27.0,122
-34.039722,22.133333,2011-04-18,23.841,253.3,10.0,6
-28.735556,29.820556,2011-04-19,31.713,75.7,10.0,74
-27.802778,28.768333,2011-04-19,87.698,224.7,15.0,91
-33.31388889,19.07472222,2011-04-19,38.4,442.0,73.0,20
-28.068333,31.55,2011-04-19,32.297,161.9,10.0,86
-29.160278,26.573333,2011-04-20,123.78,237.2,10.0,62
-30.830556,26.921389,2011-04-21,119.622,228.3,10.0,37
-27.044444,27.005,2011-04-21,105.653,244.4,27.0,106
-26.861111,28.884722,2011-04-25,150.66,605.0,178.0,114
-26.970278,27.211111,2011-04-25,113.777,617.0,48.0,111
-26.45,28.085833,2011-04-25,106.439,664.0,80.0,119
-27.01011111,26.69808333,2011-04-26,128.556,631.0,161.0,108
-25.127778,27.628889,2011-04-26,135.935,482.0,163.0,137
-25.20639,27.558,2011-04-26,112.759,613.0,49.0,135
-26.98472222,26.63227778,2011-04-26,142.866,382.0,193.0,110
-27.495556,26.074722,2011-04-26,126.256,336.7,151.0,96
-34.065833,20.404167,2011-04-27,83.387,995.0,10.0,5
-28.75,30.442778,2011-04-27,33.195,126.6,39.0,72
-29.161667,30.629722,2011-04-27,31.085,85.2,10.0,61
-26.880278,26.965,2011-04-27,240.39,655.0,176.0,113
-25.99136,27.84208,2011-05-02,109.206,386.0,135.0,122
-29.380556,30.2775,2011-05-03,23.136,71.9,10.0,58
-26.45,28.085833,2011-05-03,113.891,670.0,80.0,119
-25.45963889,28.26430556,2011-05-03,175.734,609.0,82.0,130
-25.57877778,29.12747222,2011-05-03,61.891,360.0,10.0,127
-25.81048333,27.90955222,2011-05-04,142.582,902.0,10.0,123
-26.006389,29.253889,2011-05-04,106.94,760.0,10.0,121
-28.404444,30.013056,2011-05-04,68.404,193.1,10.0,79
-27.802778,28.768333,2011-05-04,84.289,217.0,10.0,91
-27.937778,31.209444,2011-05-05,71.692,292.8,118.0,88
-27.5275,30.858056,2011-05-05,42.297,102.9,10.0,95
-27.3,28.586944,2011-05-05,84.704,230.2,30.0,103
-27.02314,28.59389,2011-05-06,170.527,415.0,10.0,107
-26.648056,27.089444,2011-05-06,260.292,624.0,10.0,116
-26.970278,27.211111,2011-05-06,150.638,664.0,48.0,111
-29.744167,29.905833,2011-05-09,32.037,77.0,10.0,53
-26.861111,28.884722,2011-05-09,168.883,608.0,178.0,114
-26.970278,27.211111,2011-05-09,122.781,586.0,48.0,111
-31.104278,29.399722,2011-05-09,59.565,138.7,10.0,33
-25.127778,27.628889,2011-05-10,149.728,511.0,163.0,137
-25.20639,27.558,2011-05-10,132.346,676.0,22.0,135
-24.058889,31.237222,2011-05-10,96.35,361.0,10.0,149
-24.034167,31.123611,2011-05-10,147.94,516.0,158.0,150
-28.747778,31.745833,2011-05-10,79.182,306.9,10.0,73
-30.733889,29.828333,2011-05-10,25.057,78.5,10.0,39
-26.98472222,26.63227778,2011-05-10,205.753,539.0,193.0,110
-29.160278,26.573333,2011-05-10,146.902,388.0,10.0,62
-33.501667,21.624167,2011-05-10,195.856,652.0,17.0,17
-32.502778,19.535833,2011-05-10,15.048,134.7,10.0,26
-31.5653,18.3306,2011-05-10,63.944,990.0,26.0,28
-27.495556,26.074722,2011-05-10,178.092,477.0,61.0,96
-24.183889,30.823889,2011-05-11,88.531,308.3,11.0,148
-28.801278,31.955389,2011-05-11,88.994,362.0,10.0,69
-30.398056,30.601944,2011-05-11,32.773,173.25,10.0,44
-30.27402,30.69602,2011-05-11,123.874,550.0,36.0,46
-27.02314,28.59389,2011-05-11,164.391,399.0,10.0,107
-27.044444,27.005,2011-05-11,94.276,238.0,10.0,106
-22.225556,29.990556,2014-11-24,104.0,1448.0,50.0,161
-30.568333,29.422778,2011-05-11,94.721,184.5,10.0,42
-30.570833,29.150556,2011-05-11,52.047,119.6,10.0,41
-32.595833,19.009444,2011-05-11,12.063,78.6,10.0,25
-29.140556,31.391944,2011-05-12,56.422,236.6,10.0,63
-30.830556,26.921389,2011-05-12,123.096,244.3,10.0,37
-26.73806,27.59194,2011-05-12,112.323,684.0,41.0,115
-31.000833,26.353056,2011-05-12,220.497,496.0,10.0,35
-22.225556,29.990556,2015-07-30,86.3,1216.0,50.0,161
-22.225556,29.990556,2015-08-03,94.2,1243.0,50.0,161
-30.679722,26.7125,2011-05-12,93.531,198.2,10.0,40
-31.031389,28.883333,2011-05-12,46.685,112.4,10.0,34
-30.86013889,29.07125,2011-05-12,69.48,160.2,10.0,36
-30.77586667,29.03221667,2011-05-12,107.437,197.2,10.0,38
-30.534167,24.961944,2011-05-13,243.676,649.0,140.0,43
-29.803611,30.516111,2011-05-13,98.453,333.0,10.0,50
-25.99136,27.84208,2011-05-16,116.97,416.0,29.0,122
-25.513889,31.224444,2011-05-16,49.03,172.4,20.0,128
-26.861111,28.884722,2011-05-16,160.169,575.0,172.0,114
-26.970278,27.211111,2011-05-16,116.407,572.0,48.0,111
-34.031944,22.053333,2011-05-16,5.0,278.2,10.0,7
-34.039722,22.133333,2011-05-16,10.975,191.0,10.0,6
-33.31388889,19.07472222,2011-05-16,30.991,142.5,20.0,20
-27.01011111,26.69808333,2011-05-17,144.823,664.0,161.0,108
-25.436111,31.982222,2011-05-17,94.059,371.0,10.0,132
-25.681111,31.783333,2011-05-17,62.794,189.6,10.0,125
-25.67386,31.57527,2011-05-17,31.506,108.2,10.0,126
-26.98472222,26.63227778,2011-05-17,244.03,519.0,120.0,110
-25.45963889,28.26430556,2011-05-17,181.913,639.0,82.0,130
-28.338333,31.373611,2011-05-17,103.193,270.5,10.0,81
-28.068333,31.55,2011-05-17,63.449,191.9,10.0,86
-25.81048333,27.90955222,2011-05-18,159.0,626.0,10.0,123
-26.880278,26.965,2011-05-18,248.632,617.0,176.0,113
-28.801278,31.955389,2011-05-19,126.788,407.0,16.0,69
-22.548889,28.898056,2011-05-20,154.643,318.2,10.0,159
-22.43772222,31.07805556,2011-05-20,7.673,81.7,66.0,160
-25.49037,30.6986,2011-05-23,72.348,311.2,10.0,129
-28.75,30.442778,2011-05-23,21.063,77.1,10.0,72
-26.73806,27.59194,2011-05-23,124.783,670.0,41.0,115
-26.45,28.085833,2011-05-23,126.701,676.0,80.0,119
-22.935,28.004167,2011-05-24,112.118,521.0,48.0,156
-33.980556,21.653333,2011-05-24,184.18,1098.0,15.0,10
-25.127778,27.628889,2011-05-24,168.569,545.0,163.0,137
-25.20639,27.558,2011-05-24,140.231,675.0,45.0,135
-27.802778,28.768333,2011-05-24,151.334,279.2,10.0,91
-28.141944,26.417778,2011-05-24,80.612,204.2,56.0,83
-28.116667,26.725278,2011-05-24,137.737,694.0,10.0,85
-27.671111,27.236944,2011-05-24,104.742,260.3,63.0,92
-28.69485,28.23487,2011-05-24,164.49,361.0,10.0,76
-34.092222,21.295278,2011-05-24,29.416,448.0,20.0,3
-27.495556,26.074722,2011-05-24,173.046,391.0,10.0,96
-34.065833,20.404167,2011-05-25,49.986,695.0,29.0,5
-23.23572222,27.717,2011-05-25,15.205,64.6,66.0,155
-28.75,30.442778,2011-05-25,75.221,188.6,88.0,72
-29.161667,30.629722,2011-05-25,33.278,95.7,10.0,61
-26.648056,27.089444,2011-05-25,256.175,564.0,10.0,116
-27.3,28.586944,2011-05-25,132.849,326.1,10.0,103
-27.044444,27.005,2011-05-25,98.257,246.6,13.0,106
-30.679722,26.7125,2011-05-25,88.739,187.9,10.0,40
-33.818056,19.694722,2011-05-25,18.623,255.0,74.0,14
-34.075556,20.145556,2011-05-25,5.0,223.0,10.0,4
-30.398056,30.601944,2011-05-26,58.903,257.0,10.0,44
-30.27402,30.69602,2011-05-26,129.128,589.0,10.0,46
-27.02314,28.59389,2011-05-26,163.153,406.0,10.0,107
-27.671111,27.236944,2011-05-26,101.169,250.9,10.0,92
-22.91028,29.61111,2011-05-28,35.91,109.5,10.0,157
-25.99136,27.84208,2011-05-30,123.469,431.0,43.0,122
-26.861111,28.884722,2011-05-30,183.983,659.0,61.0,114
-26.970278,27.211111,2011-05-30,140.058,657.0,48.0,111
-26.45,28.085833,2011-05-30,126.632,688.0,80.0,119
