Latitude,Longitude,land_cover_250m,land_cover_500m
-28.116667,26.725278,Grassland,Grassland
-28.068333,31.55,Tree cover,Tree cover
-28.058889,30.373611,Grassland,Grassland
-27.937778,31.209444,Shrubland,Grassland
-27.935,26.126667,Shrubland,Grassland
-27.902778,24.615556,Shrubland,Shrubland
-27.802778,28.768333,Grassland,Grassland
-27.671111,27.236944,Built-up,Built-up
-27.602222,29.942778,Grassland,Grassland
-27.573056,24.746389,Shrubland,Shrubland
-27.5275,30.858056,Grassland,Grassland
-27.495556,26.074722,Grassland,Grassland
-27.4275,28.525833,Cropland,Cropland
-27.4,26.624722,Grassland,Grassland
-27.398611,26.614722,Grassland,Grassland
-27.38972222,26.46388889,Grassland,Grassland
-27.363611,31.783333,Tree cover,Tree cover
-27.356667,27.286389,Grassland,Grassland
-27.3,28.586944,Grassland,Grassland
-27.273889,28.49,Tree cover,Built-up
-27.169444,29.233889,Grassland,Grassland
-27.044444,27.005,Grassland,Grassland
-27.02314,28.59389,Grassland,Grassland
-27.01011111,26.69808333,Water,Grassland
-27.00222,28.76528,Grassland,Grassland
-26.98472222,26.63227778,Grassland,Cropland
-26.970278,27.211111,Tree cover,Grassland
-26.905,32.324722,Tree cover,Tree cover
-26.880278,26.965,Grassland,Grassland
-26.861111,28.884722,Cropland,Cropland
-26.73806,27.59194,Tree cover,Grassland
-26.648056,27.089444,Grassland,Grassland
-26.619444,27.980833,Tree cover,Grassland
-26.510278,28.351389,Grassland,Grassland
-26.45,28.085833,Grassland,Grassland
-26.03611,30.99778,Shrubland,Shrubland
-26.006389,29.253889,Grassland,Grassland
-25.99136,27.84208,Grassland,Grassland
-25.81048333,27.90955222,Grassland,Grassland
-25.73411,27.21422,Grassland,Grassland
-25.681111,31.783333,Tree cover,Tree cover
-25.67386,31.57527,Cropland,Cropland
-25.57877778,29.12747222,Grassland,Grassland
-25.513889,31.224444,Tree cover,Tree cover
-25.49037,30.6986,Tree cover,Tree cover
-25.45963889,28.26430556,Grassland,Grassland
-25.447222,30.711667,Tree cover,Tree cover
-25.436111,31.982222,Tree cover,Tree cover
-25.398889,31.610556,Grassland,Grassland
-25.362222,31.956667,Grassland,Grassland
-25.20639,27.558,Cropland,Cropland
-25.14944444,31.94055556,Grassland,Grassland
-25.127778,27.628889,Shrubland,Shrubland
-24.99328,30.81444,Grassland,Grassland
-24.9675,31.516667,Tree cover,Shrubland
-24.95861111,29.39527778,Grassland,Grassland
-24.925278,29.324444,Shrubland,Shrubland
-24.768889,31.39,Shrubland,Shrubland
-24.69514,27.40906,Cropland,Cropland
-24.679167,30.8025,Grassland,Grassland
-24.670833,28.560833,Shrubland,Shrubland
-24.39619444,27.08983333,Tree cover,Tree cover
-24.282222,28.090278,Shrubland,Shrubland
-24.183889,30.823889,Tree cover,Tree cover
-24.058889,31.237222,Shrubland,Shrubland
-24.034167,31.123611,Tree cover,Shrubland
-23.838611,31.640833,Water,Shrubland
-23.763056,27.908611,Shrubland,Shrubland
-23.658056,31.05,Shrubland,Shrubland
-23.281,30.54305556,Tree cover,Tree cover
-23.23572222,27.717,Tree cover,Shrubland
-22.935,28.004167,Tree cover,Tree cover
-22.91028,29.61111,Shrubland,Shrubland
-22.769722,30.886944,Tree cover,Cropland
-22.548889,28.898056,Tree cover,Tree cover
-22.43772222,31.07805556,Shrubland,Shrubland
-22.225556,29.990556,Water,Tree cover
